periodo,universidad,programa,facultad,nivel,estrato,sexo,departamento,total_matriculados,total_graduados
2020-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,0.8418,0.0
2020-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,0.8088,0.0
2020-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,7.8395,0.0
2020-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.5321,0.0
2020-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.069,0.0
2020-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0271,0.0
2021-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,8.2948,0.0
2021-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.9695,0.0
2021-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.1311,0.0
2021-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0867,0.0
2021-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,8.1218,0.0
2021-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.8033,0.0
2021-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.1075,0.0
2021-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0641,0.0
2022-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,8.0348,0.0
2022-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.7197,0.0
2022-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.0957,0.0
2022-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0527,0.0
2022-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,8.1267,0.0
2022-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.808,0.0
2022-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.1082,0.0
2022-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0647,0.0
2023-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,8.12,0.0
2023-1,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.8016,0.0
2023-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.1073,0.0
2023-1,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0639,0.0
2023-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 1,Hombres,ANTIOQUIA,7.939,0.0
2023-2,UNAL,Biología,Escuela de pregrado,Pregrado,Estrato 2,Mujeres,CUNDINAMARCA,7.6277,0.0
2023-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 3,Hombres,VALLE DEL CAUCA,1.0826,0.0
2023-2,UNAL,Biología,Escuela de pregrado,Postgrado,Estrato 4,Mujeres,BOYACÁ,1.0401,0.0
2018-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,0.0,0.0
2018-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,0.0,0.0
2018-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,0.0,0.0
2018-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,0.0,0.0
2018-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,0.0,0.0
2018-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,0.0,0.0
2018-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,0.0,0.0
2018-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,0.0,0.0
2019-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,7.4904,0.0
2019-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.1967,0.0
2019-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.0214,0.0
2019-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,0.9814,0.0
2019-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,7.6886,0.0
2019-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.3871,0.0
2019-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.0485,0.0
2019-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0073,0.0
2020-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,6.1732,0.0
2020-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,5.9311,0.0
2020-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,0.8418,0.0
2020-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,0.8088,0.0
2020-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,7.8395,0.0
2020-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.5321,0.0
2020-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.069,0.0
2020-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0271,0.0
2021-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,8.2948,0.0
2021-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.9695,0.0
2021-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.1311,0.0
2021-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0867,0.0
2021-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,8.1218,0.0
2021-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.8033,0.0
2021-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.1075,0.0
2021-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0641,0.0
2022-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,8.0348,0.0
2022-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.7197,0.0
2022-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.0957,0.0
2022-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0527,0.0
2022-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,8.1267,0.0
2022-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.808,0.0
2022-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.1082,0.0
2022-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0647,0.0
2023-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,8.12,0.0
2023-1,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.8016,0.0
2023-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.1073,0.0
2023-1,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0639,0.0
2023-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 2,Hombres,CUNDINAMARCA,7.939,0.0
2023-2,UNAL,Estadística,Escuela de pregrado,Pregrado,Estrato 3,Mujeres,VALLE DEL CAUCA,7.6277,0.0
2023-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 4,Hombres,BOYACÁ,1.0826,0.0
2023-2,UNAL,Estadística,Escuela de pregrado,Postgrado,Estrato 5,Mujeres,SANTANDER,1.0401,0.0
2018-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,0.0,0.0
2018-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,0.0,0.0
2018-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,0.0,0.0
2018-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.0,0.0
2018-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,0.0,0.0
2018-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,0.0,0.0
2018-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,0.0,0.0
2018-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.0,0.0
2019-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,7.4904,0.0
2019-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.1967,0.0
2019-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.0214,0.0
2019-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.9814,0.0
2019-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,7.6886,0.0
2019-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.3871,0.0
2019-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.0485,0.0
2019-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0073,0.0
2020-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,6.1732,0.0
2020-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,5.9311,0.0
2020-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,0.8418,0.0
2020-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.8088,0.0
2020-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,7.8395,0.0
2020-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.5321,0.0
2020-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.069,0.0
2020-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0271,0.0
2021-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,8.2948,0.0
2021-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.9695,0.0
2021-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.1311,0.0
2021-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0867,0.0
2021-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,8.1218,0.0
2021-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.8033,0.0
2021-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.1075,0.0
2021-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0641,0.0
2022-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,8.0348,0.0
2022-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.7197,0.0
2022-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.0957,0.0
2022-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0527,0.0
2022-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,8.1267,0.0
2022-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.808,0.0
2022-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.1082,0.0
2022-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0647,0.0
2023-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,8.12,0.0
2023-1,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.8016,0.0
2023-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.1073,0.0
2023-1,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0639,0.0
2023-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 3,Hombres,VALLE DEL CAUCA,7.939,0.0
2023-2,UNAL,Geografía,Escuela de pregrado,Pregrado,Estrato 4,Mujeres,BOYACÁ,7.6277,0.0
2023-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 5,Hombres,SANTANDER,1.0826,0.0
2023-2,UNAL,Geografía,Escuela de pregrado,Postgrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",1.0401,0.0
2018-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,0.0,0.0
2018-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,0.0,0.0
2018-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",0.0,0.0
2018-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,0.0,0.0
2018-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,0.0,0.0
2018-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,0.0,0.0
2018-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",0.0,0.0
2018-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,0.0,0.0
2019-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,7.4904,0.0
2019-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.1967,0.0
2019-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.0214,0.0
2019-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,0.9814,0.0
2019-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,7.6886,0.0
2019-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.3871,0.0
2019-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.0485,0.0
2019-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0073,0.0
2020-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,6.1732,0.0
2020-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,5.9311,0.0
2020-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",0.8418,0.0
2020-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,0.8088,0.0
2020-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,7.8395,0.0
2020-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.5321,0.0
2020-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.069,0.0
2020-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0271,0.0
2021-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,8.2948,0.0
2021-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.9695,0.0
2021-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.1311,0.0
2021-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0867,0.0
2021-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,8.1218,0.0
2021-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.8033,0.0
2021-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.1075,0.0
2021-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0641,0.0
2022-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,8.0348,0.0
2022-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.7197,0.0
2022-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.0957,0.0
2022-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0527,0.0
2022-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,8.1267,0.0
2022-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.808,0.0
2022-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.1082,0.0
2022-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0647,0.0
2023-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,8.12,0.0
2023-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.8016,0.0
2023-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.1073,0.0
2023-1,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0639,0.0
2023-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 4,Hombres,BOYACÁ,7.939,0.0
2023-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Pregrado,Estrato 5,Mujeres,SANTANDER,7.6277,0.0
2023-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 6,Hombres,"BOGOTÁ, D. C.",1.0826,0.0
2023-2,UNAL,Gestión cultural y comunicativa,Escuela de pregrado,Postgrado,Estrato 1,Mujeres,ANTIOQUIA,1.0401,0.0
2018-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,0.0,0.0
2018-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.0,0.0
2018-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 1,Hombres,ANTIOQUIA,0.0,0.0
2018-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 2,Mujeres,CUNDINAMARCA,0.0,0.0
2018-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,0.0,0.0
2018-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",0.0,0.0
2018-2,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 1,Hombres,ANTIOQUIA,0.0,0.0
2018-2,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 2,Mujeres,CUNDINAMARCA,0.0,0.0
2019-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,7.4904,0.0
2019-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",7.1967,0.0
2019-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 1,Hombres,ANTIOQUIA,1.0214,0.0
2019-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 2,Mujeres,CUNDINAMARCA,0.9814,0.0
2019-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,7.6886,0.0
2019-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",7.3871,0.0
2019-2,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 1,Hombres,ANTIOQUIA,1.0485,0.0
2019-2,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 2,Mujeres,CUNDINAMARCA,1.0073,0.0
2020-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,6.1732,0.0
2020-1,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",5.9311,0.0
2020-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 1,Hombres,ANTIOQUIA,0.8418,0.0
2020-1,UNAL,Ingeniería biológica,Escuela de pregrado,Postgrado,Estrato 2,Mujeres,CUNDINAMARCA,0.8088,0.0
2020-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 5,Hombres,SANTANDER,7.8395,0.0
2020-2,UNAL,Ingeniería biológica,Escuela de pregrado,Pregrado,Estrato 6,Mujeres,"BOGOTÁ, D. C.",7.5321,0.0
